bcid|bc1|bc2|bc3
22-221-534|Industry|Utilities|Water, Sewage and Other Systems
23-125-248|Agriculture and Mining|Crop Production|Fruit and Tree Nut Farming
23-125-266|Agriculture and Mining|Crop Production|Greenhouse, Nursery, and Floriculture Production
23-125-358|Agriculture and Mining|Crop Production|Oilseed and Grain Farming
23-125-375|Agriculture and Mining|Crop Production|Other Crop Farming
23-125-524|Agriculture and Mining|Crop Production|Vegetable and Melon Farming
23-139-235|Agriculture and Mining|Fishing, Hunting and Trapping|Fishing
23-139-282|Agriculture and Mining|Fishing, Hunting and Trapping|Hunting and Trapping
23-141-246|Agriculture and Mining|Forestry and Logging|Forest Nurseries and Gathering of Forest Products
23-141-309|Agriculture and Mining|Forestry and Logging|Logging
23-141-509|Agriculture and Mining|Forestry and Logging|Timber Tract Operations
23-170-122|Agriculture and Mining|Livestock and Aquaculture|Aquaculture
23-170-157|Agriculture and Mining|Livestock and Aquaculture|Cattle Ranching and Farming
23-170-273|Agriculture and Mining|Livestock and Aquaculture|Hog and Pig Farming
23-170-364|Agriculture and Mining|Livestock and Aquaculture|Other Animal Production
23-170-443|Agriculture and Mining|Livestock and Aquaculture|Poultry and Egg Production
23-170-483|Agriculture and Mining|Livestock and Aquaculture|Sheep and Goat Farming
23-175-166|Agriculture and Mining|Mining|Coal Mining
23-175-323|Agriculture and Mining|Mining|Metal Ore Mining
23-175-345|Agriculture and Mining|Mining|Nonmetallic Mineral Mining and Quarrying
23-185-357|Agriculture and Mining|Oil and Gas Extraction|Oil and Gas Extraction
23-216-502|Agriculture and Mining|Support Activities for Mining|Support Activities for Mining
23-217-499|Agriculture and Mining|Support for Agriculture|Support Activities for Animal Production
23-217-500|Agriculture and Mining|Support for Agriculture|Support Activities for Crop Production
23-217-501|Agriculture and Mining|Support for Agriculture|Support Activities for Forestry
